onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	cue_onset_time	target
5.468037128448486	9.235865592956543	trials	7.267573833465576			7.256309747695923		Left
14.889451503753662	16.026705980300903	trials		23.892951011657715	24.314101696014404	23.222517728805542	17.220525979995728	Right
31.101255655288696	0.3462347984313965	trials	31.205048322677612			31.189483404159546		Left
34.41258502006531	12.113510370254517	trials		38.83008003234863	39.28252410888672	36.9554226398468	36.51661825180054	Right
46.71303677558899	19.395092487335205	trials		55.32893180847168	55.77830410003662	49.293434858322144	48.86036491394043	Right
66.29453825950623	9.99890947341919	trials	66.79826426506042			66.78777861595154		Left
76.48010230064392	1.5876915454864502	trials	77.15688443183899			77.15086340904236		Left
79.55988478660583	5.499985933303833	trials	79.70275330543518			79.68747520446777		Right
85.24734473228455	10.698956727981567	trials		89.1104052066803	89.55494403839111	88.0622386932373	87.70404362678528	Left
96.13197302818298	12.844032049179077	trials		101.45370101928711	101.91405057907104	98.60042762756348	98.20381188392639	Right
109.16306948661804	17.56811261177063	trials	121.48678660392761			112.08769536018372	111.46862602233887	Right
126.91853308677673	10.278461456298828	trials		130.42368507385254	130.89882111549377	129.41656064987183	129.0002841949463	Left
137.38291192054749	10.293739557266235	trials		141.32867074012756	141.79606533050537	140.26301431655884	139.89068794250488	Left
147.86519050598145	19.13368558883667	trials	159.93958401679993			150.49814009666443	149.92166900634766	Right
167.1842200756073	12.454666376113892	trials		173.31118083000183	173.76124930381775	170.1446042060852	169.43656969070435	Right
179.82668805122375	9.75175666809082	trials		183.45197558403015	183.85965061187744	182.38648319244385	181.84155130386353	Left
189.76473093032837	15.880888223648071	trials	202.1292440891266			201.17155838012695	192.10817527770996	Right
205.83194613456726	9.90380048751831	trials		209.6704306602478	210.13553142547607	208.40706038475037	207.93618440628052	Left
215.92391681671143	16.347955226898193	trials	228.35871744155884			224.20504570007324	218.34092545509338	Right
232.46032905578613	11.443609476089478	trials		236.59098100662231	237.0392882823944	235.3815143108368	234.76273155212402	Left
244.08879113197327	15.337226152420044	trials	256.5002853870392			247.55138564109802	246.48142838478088	Right
259.61328649520874	11.179663181304932	trials		264.2934579849243	264.77117443084717	262.2722866535187	261.83958530426025	Left
270.97911286354065	11.904901266098022	trials		275.24710392951965	275.6469144821167	273.6128408908844	273.10551047325134	Left
283.0706686973572	12.313682079315186	trials	295.3729639053345				285.3550899028778	Right
297.7898905277252	5.115207672119141	trials	299.2920985221863			299.27890944480896		Right
303.18071818351746	2.109644651412964	trials	303.8561894893646			303.84693241119385		Left
306.2761471271515	14.644019365310669	trials		313.5121817588806	313.98305797576904	311.6363365650177	308.29277181625366	Right
321.10804986953735	9.974087715148926	trials		324.7301836013794	325.1181569099426	323.6815257072449	323.2469401359558	Left
331.2686285972595	11.134648084640503	trials		335.24674558639526	335.6877210140228	334.1648280620575	333.7771008014679	Left
342.5889484882355	12.836044788360596	trials	346.62187004089355			345.46876406669617	344.74479627609253	Right
355.61320447921753	14.331166744232178	trials		359.4330930709839	359.84351229667664	358.35813879966736	357.7766296863556	Left
370.12955141067505	6.010716199874878	trials	371.02530550956726			371.01895689964294		Right
376.3276596069336	10.975969076156616	trials		380.3859353065491	380.79524874687195	379.27927803993225	378.8247449398041	Left
387.4914302825928	16.853565454483032	trials		395.54224133491516	396.0195891857147	390.4290406703949	389.8851737976074	Right
404.5320191383362	14.981939315795898	trials		411.54256892204285	411.9821517467499	409.9718759059906	406.5408205986023	Right
419.69971203804016	4.08584189414978	trials		423.3375744819641	423.78469371795654	422.11885046958923	421.82266879081726	Left
