onset	duration	nwb_table	reward_start_time	reward_stop_time	movement_start_time	cue_onset_time	target
1.709916114807129	8.219238519668579	trials	9.648701429367065	9.928335428237915	8.326594591140747	8.08534026145935	Right
10.94287371635437	4.622909307479858	trials	15.273533344268799	15.56492280960083	14.224588871002197	13.975961685180664	Right
16.677642345428467	3.5629465579986572	trials	19.88239359855652	20.23976969718933	18.909429788589478	18.664366006851196	Left
21.20843267440796	3.349503993988037	trials	24.243281841278076	24.55695366859436	23.12273931503296	22.898769855499268	Left
25.646612405776978	4.325253248214722	trials	29.600972890853882	29.968998432159424	28.34915328025818	28.101386308670044	Right
30.990458965301514	4.602675199508667	trials	35.272499084472656	35.59202814102173	34.23948788642883	33.97619700431824	Right
36.646952867507935	4.036526203155518	trials	40.36632585525513	40.68265986442566	39.10266876220703	38.88218116760254	Left
41.56833791732788	4.659158945083618	trials	45.91198205947876	46.223564863204956	44.955811738967896	44.72537088394165	Right
47.31826186180115	4.1268837451934814	trials	51.114885091781616	51.44121336936951	49.973780393600464	49.74047231674194	Left
52.28601336479187	3.782123565673828	trials	55.74139904975891	56.06424570083618	54.45611524581909	54.224486351013184	Right
57.098485708236694	4.304937124252319	trials	61.115883588790894	61.4020299911499	59.868077993392944	59.6160101890564	Left
62.89518594741821	3.546644449234009	trials	66.14761471748352	66.44101119041443	64.81817603111267	64.59969544410706	Right
67.55151867866516	4.008427619934082	trials	71.19429636001587	71.55908608436584	69.96840453147888	69.75737857818604	Left
72.5829222202301	5.308907508850098	trials	77.56087303161621	77.89101052284241	76.32961535453796	76.08438777923584	Right
79.14586114883423	4.742758274078369	trials	83.5520920753479	83.85187840461731	82.49294853210449	82.22404599189758	Left
84.86440968513489	3.2480051517486572	trials	87.83421444892883	88.11061239242554	86.70838785171509	86.4738917350769	Left
89.0502347946167	3.5293185710906982	trials	92.21029877662659	92.57725954055786	90.96790027618408	90.70809078216553	Right
93.75485944747925	3.772866725921631	trials	97.19267320632935	97.52649736404419	95.90059018135071	95.66224384307861	Right
98.56745481491089	3.6601035594940186	trials	101.92678904533386	102.22452735900879	100.5532774925232	100.31730699539185	Left
103.27044105529785	5.087027072906494	trials	108.0524799823761	108.35435509681702	106.68679165840149	106.44234228134155	Right
109.51942133903503	3.996180534362793	trials	113.20983552932739	113.51449608802795	111.80044293403625	111.5842559337616	Left
114.83279371261597	3.864985466003418	trials	118.3503565788269	118.69593596458435	117.48962306976318	117.27015924453735	Right
120.00456714630127	4.418723821640015	trials	124.14677000045776	124.42243075370789	122.95430135726929	122.7232460975647	Left
125.54985475540161	4.053729295730591	trials	129.2412109375	129.5942041873932	128.21385216712952	127.974604845047	Left
130.89402890205383	3.356180429458618	trials	133.89709305763245	134.24939012527466	132.97045493125916	132.75426816940308	Right
135.6901171207428	3.5064218044281006	trials	138.8321177959442	139.1956377029419	137.80103158950806	137.56727290153503	Left
140.1595904827118	5.062737941741943	trials	144.88014841079712	145.22097659111023	143.68825340270996	143.45838594436646	Right
146.42446327209473	3.7473485469818115	trials	149.8185727596283	150.17099261283875	148.84339714050293	148.58321928977966	Right
151.2053554058075	4.7258830070495605	trials	155.63014149665833	155.9297227859497	154.66745853424072	154.42624521255493	Left
156.93959164619446	3.8372557163238525	trials	160.4592845439911	160.77533173561096	159.06312203407288	158.83198475837708	Left
161.76930809020996	4.66403341293335	trials	166.12859892845154	166.4324812889099	165.06056714057922	164.849622964859	Right
167.59635972976685	5.041356801986694	trials	172.28603386878967	172.63656949996948	170.93484544754028	170.7071487903595	Right
173.76923656463623	5.116026878356934	trials	178.5374720096588	178.88440322875977	177.25456380844116	177.0201497077942	Left
180.0504114627838	5.152071714401245	trials	184.84727811813354	185.20072197914124	183.6515736579895	183.41064715385437	Right
186.2377061843872	3.493027925491333	trials	189.45884156227112	189.72991490364075	188.12432384490967	187.8950297832489	Left
190.78451204299927	3.8328728675842285	trials	194.25431561470032	194.6165657043457	193.1455693244934	192.9257779121399	Left
195.54906105995178	4.968325138092041	trials	200.22169589996338	200.51595258712769	198.92957186698914	198.7067494392395	Right
201.90937089920044	4.930478096008301	trials	206.48812532424927	206.83898878097534	205.22225666046143	204.89465856552124	Left
207.79986953735352	4.054507493972778	trials	211.48897290229797	211.8535168170929	210.11054587364197	209.87961339950562	Right
213.23726844787598	5.024235486984253	trials	217.90986251831055	218.25867772102356	216.79235076904297	216.53409790992737	Right
219.32978177070618	3.55049467086792	trials	222.5653350353241	222.87187957763672	221.39973640441895	221.1756031513214	Left
223.87675142288208	4.950302600860596	trials	228.4568576812744	228.8259072303772	227.4310553073883	227.19127559661865	Right
230.15878653526306	4.000399351119995	trials	233.84748029708862	234.15787529945374	232.9773669242859	232.73795580863953	Left
235.39216375350952	3.6000564098358154	trials	238.64528894424438	238.9898853302002	237.17986297607422	236.9567129611969	Right
239.98590970039368	3.4607105255126953	trials	243.09805059432983	243.44576001167297	241.97279739379883	241.73764610290527	Left
244.59497475624084	4.888617038726807	trials	249.11278080940247	249.48277258872986	247.9636480808258	247.72284412384033	Right
250.87619066238403	5.055651903152466	trials	255.6304178237915	255.92897534370422	254.53006839752197	254.31572484970093	Left
256.97091579437256	4.447723627090454	trials	261.1280691623688	261.4172058105469	259.87239933013916	259.65944838523865	Right
262.50117111206055	4.769259691238403	trials	266.9421362876892	267.26957058906555	265.87766790390015	265.6591463088989	Left
