onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	cue_onset_time	target
5.620981693267822	3.916677236557007	trials		9.248645067214966	9.536839723587036	8.434524059295654	8.186306476593018	Left
13.261660099029541	3.892101287841797	trials		16.87277579307556	17.152942180633545	15.88428807258606	15.652986764907837	Right
19.30805253982544	4.041891813278198	trials		23.029186487197876	23.349125146865845	22.20474362373352	21.96561908721924	Left
28.729753494262695	4.816404581069946	trials		33.20233988761902	33.54521608352661	32.05836796760559	31.810150384902954	Right
39.400816679000854	3.564953565597534	trials		42.67024374008179	42.964951038360596	41.94684934616089	41.66955018043518	Right
50.33910274505615	4.629421949386597	trials		54.669066190719604	54.96766471862793	53.68946695327759	53.35662603378296	Left
58.995384216308594	3.9055771827697754	trials		62.56107521057129	62.900142192840576	61.6615526676178	61.41816830635071	Left
65.74469113349915	5.262663841247559	trials		70.6555495262146	71.0064537525177	69.39660286903381	69.16898822784424	Right
73.07304954528809	4.004413604736328	trials		76.79361033439636	77.07664394378662	76.08590340614319	75.83981561660767	Left
82.96374273300171	3.324477434158325	trials		85.93584132194519	86.28740096092224	84.85347318649292	84.63724541664124	Right
93.27497220039368	3.7249841690063477	trials		96.73142266273499	96.99913716316223	95.6465151309967	95.38592767715454	Left
101.04123401641846	5.043527603149414	trials		105.80922365188599	106.08394241333008	104.58128380775452	104.33896446228027	Right
111.88428807258606	2.122833728790283	trials	113.99569416046143			113.8029773235321		Right
119.50891017913818	4.00035834312439	trials		123.18363642692566	123.50840830802917	122.39568901062012	122.1517722606659	Left
126.40051198005676	3.474841594696045	trials		129.59109115600586	129.8744933605194	128.97378301620483	128.7615692615509	Left
135.4627890586853	4.980736017227173	trials		140.1532416343689	140.44266486167908	139.1640167236328	138.9167001247406	Right
145.65199875831604	3.466158151626587	trials		148.85502982139587	149.11729669570923	148.0600781440735	147.82394361495972	Left
153.88372993469238	4.690329551696777	trials		158.29344248771667	158.57319927215576	157.56431365013123	157.32404232025146	Right
163.41479420661926	4.909096956253052	trials		167.96504068374634	168.32303094863892	166.8425726890564	166.60422658920288	Left
173.11764478683472	3.8164889812469482	trials		176.58916854858398	176.93323254585266	175.57041144371033	175.32243967056274	Right
179.36818170547485	4.6624767780303955	trials		183.69970178604126	184.02979850769043	182.50924038887024	182.24660468101501	Left
