onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	cue_onset_time	target
2.4354405403137207	3.1067750453948975	trials		5.1720192432403564	5.541355609893799	4.211548089981079	3.9698431491851807	Left
8.43587589263916	3.53882098197937	trials		11.65598726272583	11.973877668380737	10.721484899520874	10.469867467880249	Right
15.591874599456787	3.4266726970672607	trials		18.65727996826172	19.01768708229065	17.42991352081299	17.202216863632202	Right
22.0133376121521	4.278149127960205	trials		25.938329696655273	26.290094137191772	24.5676851272583	24.31197190284729	Left
29.263052701950073	3.4849178791046143	trials		32.37560319900513	32.74596357345581	31.231303691864014	30.968668222427368	Right
34.92077565193176	3.5088794231414795	trials		38.11078143119812	38.42752504348755	37.09296631813049	36.84261894226074	Left
41.01443576812744	4.004741191864014	trials		44.65647625923157	45.01827573776245	43.178966999053955	42.906009674072266	Right
47.092244386672974	3.840778350830078	trials		50.609029054641724	50.92532229423523	49.53743362426758	49.27983617782593	Left
53.200568437576294	4.133764982223511	trials		56.984944581985474	57.333473205566406	55.80787706375122	55.51591420173645	Left
59.93410563468933	3.582115888595581	trials		63.23441672325134	63.51011848449707	61.83239674568176	61.59319043159485	Right
66.24751615524292	3.3278770446777344	trials		69.23272180557251	69.57457399368286	68.07060480117798	67.77958393096924	Right
71.71518468856812	3.78191876411438	trials		75.15492343902588	75.4962432384491	74.23164415359497	73.95315718650818	Left
78.21688842773438	3.831807851791382	trials		81.74870538711548	82.04791808128357	80.64880633354187	80.40529918670654	Left
84.99724292755127	3.3442611694335938	trials		88.04560899734497	88.3407666683197	86.89954805374146	86.60848641395569	Right
90.63759875297546	3.9345357418060303	trials		94.21873140335083	94.56816124916077	93.19133186340332	92.92042231559753	Left
97.40349435806274	3.9601356983184814	trials		101.06138634681702	101.361008644104	99.63868165016174	99.35814666748047	Right
104.21530628204346	4.074905633926392	trials		107.95184135437012	108.28578805923462	106.83678722381592	106.60831236839294	Right
110.55906820297241	3.25476336479187	trials		113.48267006874084	113.81301236152649	112.41869306564331	112.18612217903137	Left
116.15379452705383	3.9031193256378174	trials		119.77850890159607	120.05605387687683	118.5484390258789	118.32651782035828	Right
135.1524760723114	3.5730228424072266	trials		138.43558406829834	138.72467970848083	137.26433277130127	137.04499197006226	Left
155.09041142463684	4.549386262893677	trials		159.21582078933716	159.63840508460999	157.71422719955444	157.4812877178192	Right
161.9176242351532	3.9353959560394287	trials		165.48184061050415	165.85215997695923	164.5812120437622	164.37272572517395	Left
168.48027658462524	3.526123523712158	trials		171.57734394073486	172.0055809020996	170.52987384796143	170.30959105491638	Left
174.80814599990845	4.1969664096832275	trials		178.5928089618683	179.00425219535828	177.55217909812927	177.32599806785583	Right
181.76086020469666	4.726292371749878	trials		186.09020924568176	186.4840805530548	185.15877890586853	184.90363907814026	Left
188.5587866306305	4.90864634513855	trials		193.07511806488037	193.46399235725403	191.8488166332245	191.62226676940918	Right
196.26180601119995	3.878215789794922	trials		199.79395079612732	200.1367449760437	198.40630793571472	198.1699275970459	Left
209.8397183418274	1.6417996883392334	trials	211.46640372276306			211.4627583026886		Right
214.10418677330017	3.758899211883545	trials		217.51230454444885	217.85812997817993	216.15853571891785	215.90310907363892	Left
220.58946561813354	3.615170478820801	trials		223.8090853691101	224.20172810554504	222.55411195755005	222.3550465106964	Right
226.58936834335327	5.304524660110474	trials		231.4958438873291	231.89106678962708	230.17689085006714	229.94874358177185	Left
234.19867134094238	5.4770894050598145	trials		239.31006979942322	239.6741223335266	237.90600180625916	237.69968628883362	Right
242.3235378265381	4.643430471420288	trials		246.5577368736267	246.96602630615234	245.5129292011261	245.29223680496216	Right
249.02549505233765	4.285030364990234	trials		252.93357062339783	253.30966520309448	251.61428999900818	251.38692092895508	Left
255.9796838760376	3.4450225830078125	trials		259.01051902770996	259.4238464832306	257.9190170764923	257.6836607456207	Right
262.21285367012024	4.117954730987549	trials		265.9973120689392	266.3299481868744	264.83281922340393	264.60590076446533	Left
269.1344792842865	5.088747501373291	trials		273.809326171875	274.222407579422	272.4803378582001	272.2460467815399	Left
276.50940918922424	4.01842188835144	trials		280.183767080307	280.5269708633423	279.1203224658966	278.8853759765625	Right
283.24294662475586	5.139292001724243	trials		287.9644877910614	288.3813786506653	286.9471640586853	286.7138149738312	Right
291.1977882385254	4.579778432846069	trials		295.4331340789795	295.77674746513367	294.26929664611816	294.057000875473	Left
297.8381824493408	4.703887224197388	trials		302.18203139305115	302.5412504673004	301.2644045352936	300.9947237968445	Left
