onset	duration	nwb_table	reward_start_time	reward_stop_time	movement_start_time	cue_onset_time	target
4.0491416454315186	3.6878745555877686	trials	7.443169355392456	7.736197233200073	6.611804246902466	6.377922534942627	Left
8.501903295516968	5.3863630294799805	trials	13.598187446594238	13.88740611076355	12.222750663757324	11.989278793334961	Left
15.203860521316528	3.6159486770629883	trials	18.458583116531372	18.818989992141724	17.173504114151	16.957972526550293	Right
19.688284158706665	3.4283111095428467	trials	22.815866947174072	23.115898847579956	21.740339279174805	21.519564867019653	Left
24.329707622528076	4.399513483047485	trials	28.39404535293579	28.72508406639099	27.329863786697388	27.11179256439209	Right
30.002380847930908	3.708927869796753	trials	33.39390969276428	33.70840072631836	32.24981498718262	32.01855492591858	Right
34.84606456756592	4.261396646499634	trials	38.76790261268616	39.058841705322266	37.70933246612549	37.4718873500824	Left
40.48605179786682	3.250462770462036	trials	43.408424854278564	43.732582330703735	42.25380349159241	42.035404682159424	Right
45.04756212234497	3.4958951473236084	trials	48.20512771606445	48.53919744491577	47.159910440444946	46.91058683395386	Left
49.68861699104309	5.098045349121094	trials	54.4552960395813	54.78322172164917	53.086535692214966	52.846632957458496	Left
55.7832190990448	5.002608776092529	trials	60.44049406051636	60.78504967689514	59.171348571777344	58.955079793930054	Right
61.673717737197876	3.711221694946289	trials	65.11226868629456	65.38162183761597	63.824158668518066	63.56426763534546	Right
66.75177478790283	3.9666073322296143	trials	70.37915134429932	70.71363067626953	69.48036599159241	69.25172734260559	Left
71.84543752670288	3.182018518447876	trials	74.73586177825928	75.02516222000122	73.76957440376282	73.53286647796631	Right
76.14218235015869	3.432079315185547	trials	79.20590853691101	79.5699200630188	78.307532787323	78.09540104866028	Left
80.42340350151062	4.362076282501221	trials	84.50355195999146	84.78466057777405	83.51068162918091	83.28470516204834	Right
85.93801212310791	3.601285219192505	trials	89.19146490097046	89.53847813606262	87.85911798477173	87.62843132019043	Left
91.01590538024902	4.394434452056885	trials	95.11161851882935	95.40947961807251	94.21578240394592	94.00246262550354	Left
96.6887834072113	4.8942694664001465	trials	101.267005443573	101.57879304885864	100.13884425163269	99.92355847358704	Right
102.56248831748962	4.590632915496826	trials	106.78366208076477	107.14947581291199	105.61253380775452	105.37644028663635	Right
108.14078974723816	3.4607105255126953	trials	111.26681590080261	111.60055804252625	110.07926273345947	109.84517621994019	Left
112.71897077560425	4.95063042640686	trials	117.3301248550415	117.66591477394104	116.30284810066223	116.07904267311096	Left
118.65706491470337	3.7039718627929688	trials	122.00099849700928	122.36021757125854	120.83900427818298	120.62846970558167	Right
123.39138555526733	4.139090061187744	trials	127.173672914505	127.52420854568481	125.992591381073	125.7508454322815	Left
128.56324100494385	5.012439012527466	trials	133.2056474685669	133.57486081123352	132.134215593338	131.89132285118103	Right
134.57989621162415	3.2320308685302734	trials	137.51832580566406	137.81110787391663	136.54306817054749	136.29812741279602	Right
138.78153204917908	4.096737384796143	trials	142.56549882888794	142.87740921974182	141.313556432724	141.0794701576233	Left
143.8900225162506	3.0605311393737793	trials	146.67251706123352	146.94961142539978	145.65240836143494	145.4075083732605	Left
147.89099526405334	4.397096872329712	trials	151.90634489059448	152.27715587615967	150.77646327018738	150.56343030929565	Right
153.09410309791565	4.041236400604248	trials	156.85963773727417	157.13202166557312	155.92443895339966	155.7048933506012	Left
158.07840251922607	4.211056709289551	trials	161.9545292854309	162.28622341156006	160.8885862827301	160.65843200683594	Right
163.7189221382141	4.231372833251953	trials	167.5796890258789	167.94636297225952	166.42928647994995	166.18831872940063	Right
168.74872827529907	4.80497670173645	trials	173.18727684020996	173.5506739616394	172.21779465675354	171.98571515083313	Left
174.60932612419128	3.4494872093200684	trials	177.7669734954834	178.05553674697876	176.41967606544495	176.1727283000946	Left
178.99974656105042	4.351672410964966	trials	182.99981832504272	183.34740471839905	181.76671743392944	181.5476634502411	Right
184.7497112751007	3.6739892959594727	trials	188.14025735855103	188.4156723022461	186.85739016532898	186.636492729187	Right
189.74969863891602	3.5722854137420654	trials	192.95399928092957	193.31792902946472	191.60846328735352	191.39067912101746	Left
194.217369556427	3.9809024333953857	trials	197.87685894966125	198.19384837150574	196.92986369132996	196.7031090259552	Right
199.65571069717407	3.443220615386963	trials	202.75208187103271	203.09807109832764	201.4570496082306	201.2191948890686	Left
204.13878273963928	4.656660556793213	trials	208.48369669914246	208.79130625724792	207.14172410964966	206.9222195148468	Right
209.78057217597961	3.608903646469116	trials	213.07719683647156	213.38501119613647	212.04795384407043	211.8285312652588	Left
214.23366141319275	4.27876353263855	trials	218.15656447410583	218.50890231132507	216.74426364898682	216.48355317115784	Right
220.01381373405457	3.695493221282959	trials	223.35959029197693	223.70803713798523	222.35820031166077	222.13980150222778	Left
224.78028798103333	4.610867261886597	trials	229.04582142829895	229.38861560821533	228.01711106300354	227.76471543312073	Left
230.8752999305725	3.7994494438171387	trials	234.3603813648224	234.67171835899353	233.1552152633667	232.93812727928162	Right
235.54478073120117	3.2857704162597656	trials	238.45208072662354	238.82207226753235	237.52343559265137	237.31224584579468	Left
239.5775384902954	4.588339328765869	trials	243.8582272529602	244.16473078727722	242.62053894996643	242.40500736236572	Right
245.4986343383789	4.9769675731658936	trials	250.10909175872803	250.4722023010254	249.04667139053345	248.81229829788208	Right
251.31110405921936	3.368959903717041	trials	254.3274803161621	254.6792447566986	253.40432381629944	253.18608903884888	Left
255.91877627372742	3.542384624481201	trials	259.15514874458313	259.4476442337036	258.2965862751007	258.0618853569031	Left
260.3890688419342	4.8748133182525635	trials	264.9513165950775	265.26302218437195	263.613153219223	263.40466690063477	Right
