onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	movement_stop_time	return_start_time	return_stop_time	cue_onset_time	target
21.740421056747437	14.590115785598755	trials		25.122365474700928	25.432309865951538	21.903114318847656	24.58079242706299	27.158609867095947	36.33053684234619	24.133304357528687	Left
36.349788188934326	17.11079430580139	trials		41.14984965324402	41.46036744117737	40.178810834884644	40.47638535499573	51.05061888694763	53.46058249473572	39.915274143218994	Right
53.475205183029175	15.576063871383667	trials		57.27514624595642	57.584967613220215	56.39593982696533	56.62011384963989	66.52362751960754	69.05126905441284	56.14981126785278	Left
69.06888198852539	16.914063215255737	trials		72.5397093296051	72.84932613372803	71.43239688873291	71.73238778114319	82.88141322135925	85.98294520378113	71.19507455825806	Right
85.98913025856018	15.879249811172485	trials		90.89966082572937	91.21026039123535	89.68122363090515	89.92387080192566	99.7722520828247	101.86838006973267	89.41424632072449	Left
101.87988996505737	17.245757341384888	trials		106.86869502067566	107.17868041992188	105.66840314865112	105.92292857170105	115.98835706710815	119.12564730644226	105.4443519115448	Left
119.14469385147095	15.775661945343018	trials		123.75764989852905	124.06996989250183	122.80717301368713	123.18859267234802	132.90770435333252	134.92035579681396	122.63129091262817	Right
134.925639629364	16.079912900924683	trials		139.6643431186676	139.97395968437195	138.77264380455017	139.0343782901764	148.38595581054688	151.0055525302887	138.52073979377747	Left
151.0200114250183	2.3667099475860596	trials	152.4122829437256			151.64661765098572			153.38672137260437		Right
154.03560948371887	15.938232421875	trials		158.28860926628113	158.59859466552734	157.31425285339355	157.6341094970703	167.82192635536194	169.97384190559387	157.08532738685608	Right
169.987154006958	16.293928861618042	trials		174.72585725784302	175.03576064109802	173.75563764572144	174.01536512374878	183.61319422721863	186.28108286857605	173.50635528564453	Left
186.28542470932007	16.102236032485962	trials		190.49054217338562	190.80011773109436	189.59486985206604	189.91673350334167	199.87062788009644	202.38766074180603	189.33362698554993	Right
202.39458298683167	16.338165760040283	trials		206.52154874801636	206.83104252815247	202.86218237876892	205.78287625312805	216.00485372543335	218.73274874687195	205.25883388519287	Left
218.73729538917542	2.387968063354492	trials	219.97346806526184			219.22209787368774			221.1252634525299		Right
221.1438591480255	14.6983323097229	trials		225.33451771736145	225.64610052108765	224.35328006744385	224.6048562526703	234.19977736473083	235.8421914577484	224.12881922721863	Left
235.86119675636292	1.318502426147461	trials	236.9270579814911			236.1730661392212			237.17969918251038		Left
238.29962754249573	6.212771892547607	trials	241.53686022758484			240.77488136291504			244.51239943504333		Right
244.51702785491943	18.014330863952637	trials		249.78620409965515	250.0958616733551	248.58222603797913	248.91408395767212	256.4035379886627	262.53135871887207	248.33380341529846	Right
262.5500774383545	16.612966299057007	trials		267.42697978019714	267.73905396461487	266.38901257514954	266.6225254535675	277.47708916664124	279.1630437374115	266.16090631484985	Left
279.1736934185028	16.067338228225708	trials		283.3023386001587	283.6147403717041	282.27850246429443	282.6060185432434	292.7335424423218	295.2410316467285	282.0340530872345	Right
295.25045251846313	15.280128002166748	trials		299.99009799957275	300.29996037483215	298.926940202713	299.1867904663086	308.8626482486725	310.5305805206299	298.6749951839447	Left
310.5477018356323	17.172070264816284	trials		315.53634309768677	315.84653306007385	314.6312909126282	314.96347641944885	325.43014907836914	327.7197721004486	314.39491081237793	Right
327.73439478874207	15.275827407836914	trials		331.44279050827026	331.75347208976746	330.5920922756195	330.85943818092346	340.4834406375885	343.010222196579	330.3473560810089	Left
343.0169394016266	14.933606624603271	trials		347.44225788116455	347.7535948753357	346.6123673915863	346.90052103996277	355.97697019577026	357.95054602622986	346.42415618896484	Left
357.96828150749207	15.796592712402344	trials		362.51852798461914	362.8291685581207	361.5913574695587	361.9474227428436	371.9131135940552	373.7648742198944	361.3629643917084	Right
373.7817907333374	15.49393916130066	trials		378.3151206970215	378.6246552467346	377.0147225856781	377.37091064453125	387.06966519355774	389.27572989463806	376.73558020591736	Right
389.2806041240692	15.093473434448242	trials		393.7538866996765	394.06485509872437	392.94844937324524	393.2309913635254	402.7192933559418	404.37407755851746	392.7043685913086	Left
404.3903386592865	14.571315050125122	trials		408.61282300949097	408.9229311943054	407.5809178352356	407.8530149459839	417.0539827346802	418.9616537094116	407.36145401000977	Left
418.9666917324066	15.129313468933105	trials		423.7358694076538	424.0456907749176	422.4133939743042	422.779944896698	430.3142912387848	434.0960052013397	422.15657472610474	Right
434.1082112789154	15.982387065887451	trials		438.89573884010315	439.20654344558716	437.9239628314972	438.1931519508362	446.23749113082886	450.09059834480286	437.6577229499817	Left
450.10870265960693	14.53084683418274	trials		453.98597621917725	454.29706740379333	452.8944742679596	453.2385792732239	462.8883047103882	464.6395494937897	452.6573567390442	Right
