name	electrode_name	type	units
Conx 1	e000	n/a	V
Conx 2	e001	n/a	V
Conx 3	e002	n/a	V
Conx 4	e003	n/a	V
Conx 5	e004	n/a	V
Conx 6	e005	n/a	V
Conx 7	e006	n/a	V
Conx 8	e007	n/a	V
Conx 9	e008	n/a	V
Conx 10	e009	n/a	V
Conx 11	e010	n/a	V
Conx 12	e011	n/a	V
Conx 13	e012	n/a	V
Conx 14	e013	n/a	V
Conx 15	e014	n/a	V
Conx 16	e015	n/a	V
Conx 17	e016	n/a	V
Conx 18	e017	n/a	V
Conx 19	e018	n/a	V
Conx 20	e019	n/a	V
Conx 21	e020	n/a	V
Conx 22	e021	n/a	V
Conx 23	e022	n/a	V
Conx 24	e023	n/a	V
Conx 25	e024	n/a	V
Conx 26	e025	n/a	V
Conx 27	e026	n/a	V
Conx 28	e027	n/a	V
Conx 29	e028	n/a	V
Conx 30	e029	n/a	V
Conx 31	e030	n/a	V
Conx 32	e031	n/a	V
