name	electrode_name	type	units	sampling_frequency
Conx 9	e000	n/a	V	-1.0
Conx 11	e001	n/a	V	-1.0
Conx 12	e002	n/a	V	-1.0
Conx 13	e003	n/a	V	-1.0
Conx 14	e004	n/a	V	-1.0
Conx 15	e005	n/a	V	-1.0
Conx 17	e006	n/a	V	-1.0
Conx 18	e007	n/a	V	-1.0
Conx 19	e008	n/a	V	-1.0
Conx 20	e009	n/a	V	-1.0
Conx 21	e010	n/a	V	-1.0
Conx 22	e011	n/a	V	-1.0
Conx 24	e012	n/a	V	-1.0
Conx 25	e013	n/a	V	-1.0
Conx 27	e014	n/a	V	-1.0
Conx 28	e015	n/a	V	-1.0
Conx 29	e016	n/a	V	-1.0
Conx 31	e017	n/a	V	-1.0
Conx 32	e018	n/a	V	-1.0
