onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	movement_stop_time	return_start_time	return_stop_time	cue_onset_time	target
12.19756031036377	13.023027181625366	trials		14.857420682907104	15.129026651382446	14.36155915260315	14.847180843353271	19.322347402572632	25.220587491989136	14.090362787246704	Right
25.228206157684326	13.143449544906616	trials		27.7629337310791	28.086763620376587	27.284480094909668	27.739996194839478	34.43826699256897	38.37165570259094	26.917724132537842	Right
38.384353160858154	24.737300634384155	trials		42.07349753379822	42.38622713088989	41.59586310386658	42.06067705154419	42.10663414001465	63.12165379524231	41.151856660842896	Left
63.13385987281799	7.366574048995972	trials	63.90685701370239			63.14266633987427			70.50043392181396		Left
70.50977277755737	14.786027431488037	trials		73.02737927436829	73.37590789794922	72.29407238960266	73.00624394416809	82.35753464698792	85.29580020904541	72.05658626556396	Right
85.30632710456848	15.677972316741943	trials		88.36976647377014	88.66660356521606	87.82794761657715	88.35821557044983	97.3305447101593	100.98429942131042	87.50940155982971	Right
100.99253249168396	12.775792598724365	trials		103.63514876365662	103.91629815101624	102.81566214561462	103.6160614490509	111.75108599662781	113.76832509040833	102.4633240699768	Left
113.77451014518738	28.3471462726593	trials		116.69778442382812	116.98049020767212	115.92687606811523	116.67996668815613	123.12506365776062	142.12165641784668	115.55667972564697	Left
142.1323058605194	15.462154388427734	trials		144.22765564918518	144.5697536468506	143.41836810112	144.20901894569397	150.271959066391	157.59446024894714	143.18116855621338	Right
157.60171008110046	13.617274761199951	trials		160.8377549648285	161.16912126541138	157.65790724754333	160.8259584903717	160.85184502601624	171.21898484230042	159.78938364982605	Left
171.22643971443176	16.609771490097046	trials		174.68022775650024	175.01552629470825	174.13140487670898	174.6631474494934	181.5646617412567	187.8362112045288	173.74289917945862	Right
187.84960508346558	15.314124822616577	trials		192.30613493919373	192.636723279953	190.94700026512146	192.2941336631775	196.20904970169067	203.16372990608215	190.44483065605164	Left
203.17798399925232	14.659010648727417	trials		205.2890214920044	205.64762616157532	204.74322938919067	205.27955961227417	214.8345856666565	217.83699464797974	204.33506298065186	Right
217.84846329689026	14.57180666923523	trials		219.96220421791077	220.30848002433777	219.4178867340088	219.94344449043274	226.77794814109802	232.4202699661255	219.03966212272644	Right
232.42833924293518	12.934348821640015	trials		235.60146951675415	235.8755328655243	234.37930488586426	235.58320116996765	241.5468134880066	245.3626880645752	234.22525429725647	Left
245.38038277626038	3.4191768169403076	trials	246.41351675987244			245.65547013282776			248.79955959320068		Left
249.59901690483093	3.1213159561157227	trials	251.08709383010864			250.32216572761536			252.72033286094666		Right
253.69169926643372	0.045178890228271484	trials	253.70759177207947				253.70124292373657		253.34988808631897		Right
256.5529191493988	0.4296703338623047	trials	256.92692470550537				256.9229516983032		253.34988808631897		Left
273.70778632164	26.667827129364014	trials	276.0957541465759			277.3223834037781	276.0876030921936	278.92125701904297	300.375613451004	275.3671987056732	Right
300.3792178630829	16.058163166046143	trials		304.74104833602905	305.00507640838623	303.95072507858276	304.7256064414978	305.1395072937012	316.437381029129	303.3498010635376	Left
316.442378282547	15.060746192932129	trials		321.616322517395	321.93642497062683	319.8437376022339	321.60587787628174	322.0259635448456	331.5031244754791	318.94233083724976	Left
331.52012276649475	14.14725637435913	trials		334.4268901348114	334.7457637786865	334.0062310695648	334.4163224697113	342.9073715209961	345.6673791408539	333.4888653755188	Right
345.67495679855347	13.329817533493042	trials	348.3087258338928			348.8289997577667	348.3009843826294	348.93279242515564	359.0047743320465	347.2430694103241	Left
359.0191104412079	12.155330419540405	trials	361.44500732421875			359.6050841808319			371.1744408607483		Right
371.1902105808258	12.926320552825928	trials		373.0522930622101	373.31468296051025	372.5807206630707	373.04414200782776	383.0127820968628	384.11653113365173	372.3650252819061	Left
384.2523956298828	14.348615646362305	trials		387.7092967033386	388.03955721855164	384.2815999984741	387.68730115890503	396.2970931529999	398.6010112762451	386.9565336704254	Right
398.6115379333496	18.87711238861084	trials		401.9721829891205	402.3146085739136	398.8454604148865	401.95981311798096	408.2661786079407	417.48865032196045	401.1447911262512	Right
417.50175738334656	15.09294080734253	trials		421.660630941391	421.99199748039246	420.6170930862427	421.64269065856934	422.3630950450897	432.5946981906891	420.22158336639404	Left
432.61022210121155	18.574827432632446	trials		435.42581248283386	435.7514853477478	432.70963191986084	435.41852164268494	441.71423745155334	451.185049533844	434.51899909973145	Right
451.18959617614746	19.771023273468018	trials		455.11196660995483	455.39565563201904	454.27179527282715	455.092346906662	455.6015205383301	470.9606194496155	453.48651003837585	Left
470.9695897102356	13.862215757369995	trials		473.893150806427	474.25363969802856	472.91342854499817	473.8825831413269	474.232545375824	484.8318054676056	472.7674469947815	Left
484.84433913230896	14.017822742462158	trials		488.268390417099	488.5668659210205	487.7701530456543	488.2570035457611	496.64835572242737	498.8621618747711	487.2993178367615	Right
498.876948595047	13.091512203216553	trials		502.81402373313904	503.1329791545868	502.2131814956665	502.7918643951416	503.7168231010437	511.96846079826355	501.7042944431305	Left
511.9852542877197	14.467522621154785	trials		516.2840883731842	516.5643775463104	515.7615206241608	516.2679090499878	524.4095692634583	526.4527769088745	514.70405626297	Right
526.4685056209564	13.37982964515686	trials		530.3770725727081	530.7369472980499	528.1651916503906	530.3601560592651	530.830295085907	539.8483352661133	527.6738765239716	Left
539.8597221374512	13.75907850265503	trials		543.3919079303741	543.6742041110992	542.8888370990753	543.3696665763855	551.4864230155945	553.6188006401062	542.4387686252594	Right
553.6241664886475	11.898634195327759	trials		555.9854693412781	556.2599422931671	555.2887399196625	555.972648859024	556.5234379768372	565.5228006839752	554.8439552783966	Left
565.5311975479126	14.083972930908203	trials		569.0785381793976	569.4344396591187	568.420065164566	569.0587544441223	573.4666240215302	579.6151704788208	568.0155034065247	Right
579.6246733665466	14.061527013778687	trials		583.220223903656	583.5338137149811	582.6552627086639	583.2053964138031	591.4964377880096	593.6862003803253	582.2496359348297	Right
593.7020928859711	13.686702013015747	trials		598.0167372226715	598.3148441314697	597.1542835235596	597.998673915863	598.0662579536438	607.3887948989868	596.6253669261932	Left
607.4038681983948	13.471744060516357	trials		609.7342054843903	610.0557823181152	609.1580619812012	609.723555803299	618.2185368537903	620.8756122589111	608.7497727870941	Right
620.8877363204956	13.092905044555664	trials		624.6723175048828	624.9783706665039	623.8901042938232	624.6497485637665	625.4938111305237	633.9806413650513	623.343820810318	Left
633.9976806640625	12.524216413497925	trials		636.9844839572906	637.2954931259155	636.3307213783264	636.9657652378082	637.950033903122	646.5218970775604	635.8433792591095	Left
646.5286962985992	13.719920635223389	trials		649.4686002731323	649.8156952857971	648.9504153728485	649.4590976238251	656.8785920143127	660.2486169338226	648.4994456768036	Right
660.2626662254333	14.276198387145996	trials		664.186265707016	664.515625	663.6474778652191	664.1646387577057	672.6497485637665	674.5388646125793	663.2490599155426	Right
674.5448038578033	12.950241327285767	trials		677.795348405838	678.1258547306061	677.1159858703613	677.7832653522491	678.2627840042114	687.4950451850891	676.5302579402924	Left
687.5132312774658	13.917552709579468	trials		691.671982049942	691.988766670227	690.9778738021851	691.6531405448914	692.3470437526703	701.4307839870453	690.4680037498474	Left
701.4348800182343	13.74146556854248	trials		704.9511730670929	705.2228198051453	704.3417701721191	704.9388031959534	712.5423309803009	715.1763455867767	703.9202508926392	Right
