onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	cue_onset_time	target
10.41469430923462	14.75792908668518	trials		17.513922452926636	17.98303747177124	12.742819786071777	12.513484716415405	Left
25.387048959732056	0.12472319602966309	trials	25.418792963027954			25.413304328918457		Right
28.012216329574585	10.827325344085693	trials		31.74748158454895	32.139960289001465	30.384783267974854	30.076354503631592	Left
39.02459907531738	8.163368940353394	trials	40.199700593948364			40.19466233253479		Left
47.37400841712952	19.44371199607849	trials		57.43443965911865	57.875701665878296	49.688862800598145	49.404518365859985	Right
67.00527620315552	0.6754302978515625	trials	67.40377593040466			67.39828729629517		Left
69.63621878623962	12.438732862472534	trials	82.06209015846252			78.37933564186096	72.0431923866272	Right
