onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	cue_onset_time	target
16.429670333862305	11.77206802368164	trials		20.329103469848633	20.80845832824707	19.015270471572876	18.7821261882782	Left
28.38839292526245	7.4562764167785645	trials	29.90698504447937			29.892157554626465		Right
36.032880544662476	0.537968635559082	trials	36.4682035446167			36.461854696273804		Right
38.87169528007507	11.775303840637207	trials		43.09430265426636	43.47990012168884	41.643704414367676	41.35931897163391	Left
50.83320331573486	9.049702167510986	trials	51.625328540802			51.608166456222534		Left
60.07128071784973	1.235558271408081	trials	60.187238454818726			60.18138122558594		Right
62.907310009002686	10.204200983047485	trials		66.43732476234436	66.8261170387268	65.35282683372498	65.01543927192688	Left
73.29767417907715	16.145981550216675	trials		81.03059458732605	81.42639112472534	76.04948997497559	75.73254132270813	Right
89.6302695274353	12.29303789138794	trials		93.93606662750244	94.39584255218506	92.02839541435242	91.67073273658752	Right
102.11049461364746	10.441564321517944	trials		105.98318076133728	106.3727514743805	104.79054856300354	104.4991180896759	Left
112.73928713798523	1.159536600112915	trials	113.1391384601593			113.12332797050476		Left
115.58780932426453	10.912481307983398	trials		119.74828028678894	120.13559818267822	118.31672835350037	117.92015361785889	Right
126.68817400932312	10.6200270652771	trials		130.54631924629211	130.9781196117401	129.33378052711487	129.04501247406006	Left
137.49456906318665	13.218406200408936	trials		142.4506061077118	142.91152906417847	139.92787957191467	139.70014214515686	Right
150.9015552997589	11.799265146255493	trials		155.95151352882385	156.365332365036	153.38524675369263	153.1070053577423	Right
162.88653302192688	4.976926803588867	trials	164.05991435050964			164.04643845558167		Left
168.04962301254272	0.27529215812683105	trials	168.3102924823761			168.2993562221527		Right
170.57357835769653	9.474129915237427	trials		174.0747570991516	174.4958667755127	173.0562868118286	172.62198781967163	Left
180.23391222953796	0.9051342010498047	trials	181.01157879829407			181.00269055366516		Left
183.46254324913025	10.580049991607666	trials		187.778662443161	188.1781861782074	186.1665997505188	185.9037184715271	Right
194.23096823692322	11.21374225616455	trials		198.05892610549927	198.47679996490479	197.0557746887207	196.71613430976868	Left
205.6310374736786	0.6535167694091797	trials	206.23130631446838			206.21979641914368		Right
208.57122826576233	10.305822610855103	trials		212.66898941993713	213.13376259803772	211.2634060382843	210.80854535102844	Right
219.0652210712433	0.8539340496063232	trials	219.88773894309998			219.8776626586914		Left
222.41472506523132	9.437225103378296	trials		227.075031042099	227.54656267166138	225.0616421699524	224.82350087165833	Right
232.0377037525177	11.06583547592163	trials		235.9805543422699	236.4585165977478	234.78091764450073	234.44963335990906	Left
243.28859639167786	10.089144468307495	trials		246.80808448791504	247.22690057754517	245.98134779930115	245.52660989761353	Left
253.56660747528076	12.06697964668274	trials		258.59010553359985	259.05963015556335	256.01429510116577	255.7786111831665	Right
265.81929993629456	12.053626775741577	trials		270.1525812149048	270.55161333084106	268.5016882419586	268.2299597263336	Right
278.06007289886475	10.927103996276855	trials		281.6979353427887	282.08553981781006	280.5291826725006	280.13621258735657	Left
289.17243909835815	12.581928968429565	trials		294.07318019866943	294.552125453949	291.75009274482727	291.41635060310364	Right
301.94163703918457	10.305126428604126	trials		305.4164786338806	305.86879992485046	304.32870411872864	303.9944703578949	Left
312.4344832897186	10.997514247894287	trials		316.1050727367401	316.551700592041	315.09946370124817	314.68240904808044	Left
323.6178328990936	5.115985870361328	trials	324.7595109939575			324.7466495037079		Right
328.92047357559204	2.746286153793335	trials	329.9151463508606			329.9121150970459		Left
332.5845093727112	12.261253118515015	trials		337.4486322402954	337.87645959854126	335.23621892929077	334.72851967811584	Right
345.03266310691833	11.363204956054688	trials		348.7603917121887	349.1721625328064	347.5376946926117	347.16581892967224	Right
356.5812120437622	10.179788827896118	trials		360.0567910671234	360.51959800720215	359.0078053474426	358.6330623626709	Left
366.94708228111267	9.173278570175171	trials		370.7286732196808	371.1697714328766	369.60333824157715	369.08683252334595	Left
376.30836725234985	8.164106369018555	trials	378.5247538089752			378.50882053375244		Right
384.77205514907837	8.351252317428589	trials	388.791296005249			387.4225356578827	386.9458842277527	Right
393.3109042644501	1.9489996433258057	trials	393.3843455314636			393.3685760498047		Left
395.8343679904938	10.71304702758789	trials		399.5410840511322	399.984680891037	398.19059205055237	397.89961218833923	Left
406.73357820510864	0.6923878192901611	trials	407.2116632461548			407.1965491771698		Right
409.78710532188416	32.54882287979126	trials		413.4299647808075	413.8964991569519	412.328959941864	412.0397822856903	Left
442.52286982536316	9.6615629196167	trials	446.1792869567871			444.8856472969055	444.6480793952942	Right
452.3694489002228	0.9562523365020752	trials	453.28842759132385			453.28175115585327		Left
455.5352883338928	39.70547699928284	trials	459.71197962760925			457.9629466533661	457.61552381515503	Right
495.42918133735657	0.6206259727478027	trials	496.037969827652			496.02297854423523		Left
