onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	movement_stop_time	return_start_time	return_stop_time	cue_onset_time	target
6.76212739944458	14.36561393737793	trials		9.623265266418457	9.89212679862976	8.943697929382324	9.61495041847229	10.014556169509888	21.12774133682251	8.622940063476562	Right
21.135114192962646	5.604720592498779	trials	24.234844207763672			23.468605518341064			26.739834785461426		Left
26.74421763420105	12.675030946731567	trials		28.84268021583557	29.184614419937134	28.1938738822937	28.826337337493896	30.807859182357788	39.41924858093262	27.87311625480652	Left
39.43391227722168	15.23236870765686	trials		42.624122858047485	42.90117621421814	42.07476735115051	42.59934210777283	44.23946237564087	54.66628098487854	41.810083866119385	Right
54.68246006965637	15.190343856811523	trials		58.341007471084595	58.635223150253296	57.70268678665161	66.51064324378967	66.91524600982666	69.8728039264679	57.44979977607727	Right
69.88464117050171	12.844441652297974	trials		72.40314888954163	72.68184065818787	71.72476935386658	72.3844301700592	73.8520679473877	82.72908282279968	71.34085130691528	Left
82.74620413780212	13.364838361740112	trials		86.30808568000793	86.59263491630554	85.43805432319641	86.29596161842346	87.17922306060791	96.11104249954224	85.12004089355469	Left
96.11984896659851	15.372124195098877	trials		99.88706302642822	100.16657400131226	99.31689977645874	99.87452936172485	100.74554371833801	111.49197316169739	99.07388424873352	Right
111.51011848449707	14.130094051361084	trials		115.35552501678467	115.64380168914795	114.59989500045776	115.34544897079468	116.45329403877258	125.64021253585815	114.2610330581665	Left
125.65049338340759	14.69165563583374	trials		128.23126006126404	128.57921528816223	127.67580151557922	136.23693323135376	137.19773173332214	140.34214901924133	127.35471606254578	Right
140.35148811340332	13.646397352218628	trials		143.1215307712555	143.38940930366516	142.49779200553894	143.1012556552887	145.29531908035278	153.99788546562195	142.1661388874054	Left
154.00939512252808	15.241707563400269	trials		157.3237144947052	157.61674237251282	156.7069797515869	157.3037669658661	157.33956599235535	169.25110268592834	156.46339082717896	Right
169.25908994674683	14.200831890106201	trials		171.8547661304474	172.12809205055237	171.23786759376526	179.9983513355255	180.4589056968689	183.45992183685303	170.94750213623047	Right
183.47646975517273	12.051169395446777	trials		185.58775305747986	185.92665600776672	184.99801087379456	185.57034492492676	186.93398523330688	195.5276391506195	184.58689546585083	Left
195.54070520401	15.49524998664856	trials		199.13408517837524	199.41560316085815	198.35338759422302	207.97161483764648	208.2687385082245	211.03595519065857	198.0866150856018	Right
211.05451011657715	12.99107837677002	trials		213.6653003692627	213.95243000984192	212.9364583492279	213.65035009384155	214.83364343643188	224.04558849334717	212.53943300247192	Left
