onset	duration	nwb_table	reward_start_time	reward_stop_time	movement_start_time	movement_stop_time	return_start_time	return_stop_time	cue_onset_time	target
16.830463886260986	17.92561173439026	trials	20.114309072494507	20.407500743865967	19.61234426498413	20.098047971725464	20.12585973739624	34.756075620651245	19.300925493240356	Right
34.76647925376892	13.520855188369751	trials	37.17660665512085	37.46279430389404	36.705730676651	37.15371012687683	43.160330295562744	48.28733444213867	36.315340757369995	Left
48.29683709144592	46.826905727386475	trials	50.723307609558105	50.99765753746033	49.9612877368927	50.714664936065674	93.1506175994873	95.1237428188324	49.58003211021423	Right
95.14024949073792	13.912309885025024	trials	98.191073179245	98.4819712638855	97.30519032478333	98.1698968410492	107.4691276550293	109.05255937576294	96.93999099731445	Right
109.06120181083679	12.88740873336792	trials	112.70500349998474	113.06655740737915	109.07930612564087	112.68173813819885	120.04921340942383	121.94861054420471	111.31314182281494	Left
121.95299339294434	13.054320573806763	trials	125.04797172546387	125.39441156387329	124.3199896812439	125.03666687011719	129.5070412158966	135.0073139667511	123.84624648094177	Left
135.01358079910278	14.396907567977905	trials	138.07910919189453	138.41952776908875	137.0405683517456	138.06948351860046	138.10892796516418	149.4104883670807	136.56453108787537	Right
149.41954040527344	15.754281044006348	trials	153.7199718952179	154.02172422409058	152.56395769119263	153.70956802368164	162.95673847198486	165.17382144927979	152.10930180549622	Right
165.18594551086426	12.834897994995117	trials	168.09574389457703	168.43251705169678	165.3855435848236	168.08091640472412	169.24487686157227	178.02084350585938	166.89025020599365	Left
178.02973175048828	13.555752992630005	trials	181.43731713294983	181.71936774253845	180.43736052513123	181.42740488052368	189.56189703941345	191.5854847431183	179.98458886146545	Right
191.59072756767273	13.45458197593689	trials	194.3608524799347	194.70344185829163	193.6662938594818	194.33820152282715	196.20159482955933	205.04530954360962	193.12840700149536	Left
205.060382604599	41.01423120498657	trials	208.766197681427	209.10878729820251	208.08159232139587	208.7450213432312	210.6211941242218	246.07461380958557	207.68600058555603	Left
246.09067010879517	12.517908334732056	trials	248.01583099365234	248.3331482410431	247.50891017913818	247.9961292743683	248.02594804763794	258.6085784435272	247.1554663181305	Right
258.6220953464508	12.357099533081055	trials	260.95190024375916	261.2156825065613	258.6264371871948	260.94243836402893	268.93017077445984	270.97919487953186	259.98151683807373	Right
270.99525117874146	11.678105592727661	trials	273.7187225818634	273.9986021518707	272.99627017974854	273.6997580528259	275.2165069580078	282.6733567714691	272.5761432647705	Left
282.6863820552826	21.33966851234436	trials	286.04604411125183	286.3147008419037	285.4366822242737	286.0318720340729	287.66076922416687	304.02605056762695	285.0120499134064	Left
304.0415744781494	14.622228384017944	trials	306.26459646224976	306.622873544693	305.4793932437897	306.2448537349701	315.9583947658539	318.66380286216736	305.0900685787201	Right
318.6821529865265	14.238924741744995	trials	322.51469826698303	322.83734011650085	318.9383988380432	322.4890983104706	323.9919617176056	332.9210777282715	321.07458567619324	Left
332.93156361579895	14.686822414398193	trials	335.9665765762329	336.2375679016113	333.4952549934387	335.946711063385	345.3500621318817	347.61838603019714	334.63590908050537	Right
347.6346471309662	14.55636477470398	trials	349.9968512058258	350.2919270992279	349.14529275894165	349.97846007347107	359.48838901519775	362.19101190567017	348.68387842178345	Right
362.1962957382202	13.527040004730225	trials	365.40149760246277	365.7465445995331	364.33551359176636	365.3907251358032	366.8320665359497	375.72333574295044	363.96457982063293	Left
375.7280869483948	13.977272510528564	trials	379.29504776000977	379.607613325119	378.47322630882263	379.27428102493286	380.29311990737915	389.70535945892334	378.0743577480316	Left
389.7119538784027	16.50737166404724	trials	393.5891456604004	393.8563277721405	392.60762119293213	393.57661175727844	403.394314289093	406.21932554244995	392.19957756996155	Right
406.227148771286	16.117145538330078	trials	410.5911910533905	410.90088963508606	409.5168101787567	410.56985092163086	411.27297019958496	422.3442943096161	409.18167543411255	Right
422.3527731895447	14.13050365447998	trials	425.19818234443665	425.4943232536316	424.242995262146	425.1878604888916	426.04441595077515	436.48327684402466	423.8371226787567	Left
436.4923288822174	15.824035882949829	trials	439.6029951572418	439.93452548980713	436.8998808860779	439.5944755077362	449.5281765460968	452.31636476516724	438.24308228492737	Right
452.320378780365	13.410099267959595	trials	455.8213939666748	456.1802034378052	454.764830827713	455.80247044563293	456.4660632610321	465.7304780483246	454.4155647754669	Left
465.7420287132263	15.344517230987549	trials	468.5426688194275	468.89975810050964	467.59940099716187	468.52259850502014	477.46404361724854	481.08654594421387	467.13409543037415	Right
481.100554227829	13.409689664840698	trials	483.5402548313141	483.8349208831787	482.6830439567566	483.52821254730225	485.0436096191406	494.5102438926697	482.27553272247314	Left
494.5221631526947	15.591710805892944	trials	497.8987007141113	498.2271590232849	496.8749876022339	497.89001727104187	499.65867018699646	510.11387395858765	496.4918885231018	Left
510.13120007514954	17.345781803131104	trials	513.6033382415771	513.9270040988922	513.0071654319763	513.5884697437286	513.6252107620239	527.4769818782806	512.6805093288422	Right
527.4911539554596	13.481738090515137	trials	530.1815295219421	530.5233817100525	529.1592090129852	530.1617867946625	531.2736461162567	540.9728920459747	528.7419085502625	Left
540.9906277656555	18.823413848876953	trials	544.1637170314789	544.4849255084991	543.1925554275513	544.1492581367493	545.002209186554	559.8140416145325	542.8346469402313	Right
559.8187520503998	14.028021812438965	trials	562.2578790187836	562.5802752971649	561.5158476829529	562.2373170852661	563.8458981513977	573.8467738628387	561.0853171348572	Left
573.8643045425415	14.282875061035156	trials	576.3984589576721	576.725483417511	575.3886721134186	576.3861298561096	585.5297944545746	588.1471796035767	574.9139456748962	Right
588.1609420776367	16.910377025604248	trials	592.3522560596466	592.6802227497101	591.370362997055	592.3314893245697	602.1819186210632	605.071319103241	591.0379724502563	Right
605.0823781490326	14.876426219940186	trials	609.0526719093323	609.3908376693726	608.0258047580719	609.0305125713348	609.8490982055664	619.9588043689728	607.6463923454285	Left
619.973550081253	15.851929664611816	trials	623.1955456733704	623.5351040363312	622.1618790626526	623.1782195568085	632.9124863147736	635.8254797458649	621.7242624759674	Right
635.8316237926483	14.223851442337036	trials	639.4118962287903	639.7554278373718	638.4731340408325	639.4008781909943	640.3902668952942	650.0554752349854	638.1294386386871	Left
650.066780090332	13.242122411727905	trials	653.6316518783569	653.9074764251709	652.4676096439362	653.6217803955078	654.8002407550812	663.3089025020599	652.0520293712616	Left
663.3163161277771	14.28914189338684	trials	666.3020133972168	666.579066991806	665.2513484954834	666.2896845340729	675.3907506465912	677.6054580211639	664.9111757278442	Right
677.6120114326477	14.425251960754395	trials	680.3020594120026	680.6197452545166	679.6020941734314	680.2906725406647	689.3785908222198	692.0372633934021	679.0520832538605	Right
692.0491008758545	14.657904624938965	trials	696.1922867298126	696.5501132011414	695.190691947937	696.1713562011719	696.9010994434357	706.7070055007935	694.8480205535889	Left
706.7206451892853	15.21721339225769	trials	711.1003749370575	711.4140877723694	709.6545279026031	711.0794854164124	712.3101696968079	721.937858581543	709.2998554706573	Left
721.9555943012238	15.633735656738281	trials	725.2243661880493	725.5534386634827	724.3098931312561	725.2122828960419	735.0514893531799	737.589329957962	723.9575142860413	Right
737.5946547985077	15.2887704372406	trials	741.3012888431549	741.5931289196014	740.6402354240417	741.2826521396637	742.9758975505829	752.8834252357483	740.3013324737549	Left
752.8916993141174	14.934507369995117	trials	755.0036377906799	755.3115749359131	754.5228493213654	754.995199918747	755.0170726776123	767.8262066841125	754.0222771167755	Right
767.8454988002777	15.95027470588684	trials	770.5342772006989	770.8601138591766	769.6971776485443	770.5164594650269	771.243581533432	783.7957735061646	769.1893963813782	Right
783.812935590744	13.949911117553711	trials	787.830005645752	788.1175448894501	786.9339647293091	787.8221414089203	789.1343770027161	797.7628467082977	786.6263961791992	Left
797.7803776264191	12.170321941375732	trials	800.1289420127869	800.3897752761841	799.4178764820099	800.1119437217712	801.0307993888855	809.9506995677948	798.9229567050934	Left
809.9694182872772	15.582044124603271	trials	812.9549107551575	813.294796705246	812.1280102729797	812.9288191795349	822.5811660289764	825.5514624118805	811.768340587616	Right
825.5621528625488	17.37555980682373	trials	829.5501413345337	829.8999397754669	828.4926772117615	829.5298252105713	839.7172737121582	842.9377126693726	828.1418957710266	Right
842.9524581432343	13.530398845672607	trials	845.9855463504791	846.2452735900879	845.1191604137421	845.9758796691895	846.9877145290375	856.4828569889069	844.7512166500092	Left
856.4989132881165	15.110143899917603	trials	858.9579060077667	859.2538418769836	858.0393369197845	858.9360332489014	868.6206567287445	871.6090571880341	857.5974605083466	Right
871.6238029003143	14.356930494308472	trials	874.189332485199	874.4633958339691	871.735050201416	874.1663539409637	876.106424331665	885.9807333946228	872.8905317783356	Left
885.9992473125458	13.229547500610352	trials	889.3933157920837	889.6740965843201	888.6358015537262	889.3782835006714	890.8331007957458	899.2287948131561	888.2025675773621	Left
899.247472524643	15.974727869033813	trials	902.7051520347595	903.0029311180115	901.9016807079315	902.693478345871	912.5410816669464	915.2222003936768	901.5148134231567	Right
915.2321126461029	13.941760063171387	trials	918.1401498317719	918.4918732643127	917.098414182663	918.128803730011	919.4360013008118	929.1738727092743	916.6715290546417	Left
929.1847269535065	16.923975706100464	trials	933.2805631160736	933.6253235340118	932.3067800998688	933.2725760936737	942.7165594100952	946.1087026596069	931.951452255249	Right
946.1220965385437	16.37265419960022	trials	949.7026560306549	950.058557510376	948.8282828330994	949.6920473575592	959.2940952777863	962.4947507381439	948.5315277576447	Right
962.512609243393	13.924392938613892	trials	965.4675455093384	965.7496371269226	964.7538175582886	965.450915813446	967.0304152965546	976.4370021820068	964.4050841331482	Left
976.4496998786926	17.04443907737732	trials	980.3114495277405	980.6233599185944	979.3210368156433	980.289003610611	990.4236135482788	993.49413895607	979.013959646225	Right
993.51318526268	14.697922468185425	trials	997.2034764289856	997.5430347919464	996.401111125946	997.1893861293793	998.3617434501648	1008.2111077308655	996.0302591323853	Left
1008.2314240932465	15.536660432815552	trials	1010.8747365474701	1011.1523635387421	1009.9151666164398	1010.862325668335	1020.8267469406128	1023.768084526062	1009.4983987808228	Right
1023.7771775722504	14.84398603439331	trials	1027.4850406646729	1027.7738087177277	1026.5158860683441	1027.4674277305603	1028.005027770996	1038.6211636066437	1026.1236941814423	Left
1038.6359090805054	16.180510759353638	trials	1042.0609023571014	1042.3595008850098	1041.3043303489685	1042.050867319107	1051.9018290042877	1054.816419839859	1040.9961881637573	Right
1054.823055267334	13.366722583770752	trials	1057.2309708595276	1057.4988083839417	1056.4903321266174	1057.2136447429657	1059.3325057029724	1068.1897778511047	1055.9969279766083	Left
1068.1987891197205	15.223111629486084	trials	1071.043706893921	1071.336529970169	1068.5911858081818	1071.0324838161469	1080.3069746494293	1083.4219007492065	1069.637222290039	Right
1083.430830001831	13.934141635894775	trials	1087.0272409915924	1087.3048677444458	1086.0015206336975	1087.0141336917877	1088.605839252472	1097.3649716377258	1085.605847120285	Left
1097.3700096607208	13.853573083877563	trials	1100.0596070289612	1100.3826994895935	1099.063009262085	1100.0453939437866	1100.8097894191742	1111.2235827445984	1098.5897574424744	Left
1111.2280473709106	15.191900253295898	trials	1113.729351758957	1114.0630118846893	1112.853462934494	1113.708830833435	1123.4026701450348	1126.4199476242065	1112.4187955856323	Right
1126.4299008846283	14.33509874343872	trials	1130.4477491378784	1130.7526144981384	1129.7041203975677	1130.4364032745361	1132.0205721855164	1140.764999628067	1129.2922675609589	Left
1140.774379491806	16.290447473526	trials	1143.8073036670685	1144.1650483608246	1142.9148671627045	1143.7888717651367	1154.2545611858368	1157.064826965332	1142.4794623851776	Right
1157.0708479881287	14.763991117477417	trials	1159.651778459549	1160.0025599002838	1158.9434163570404	1159.6320357322693	1161.6851968765259	1171.834839105606	1158.38582777977	Left
1171.8529434204102	17.8808012008667	trials	1175.3542861938477	1175.7026507854462	1174.2218239307404	1175.3448243141174	1186.707496881485	1189.7337446212769	1173.8691174983978	Right
1189.7425100803375	15.603875875473022	trials	1193.2617523670197	1193.5634226799011	1192.3666944503784	1193.2489728927612	1202.6210713386536	1205.3463859558105	1192.0722739696503	Right
1205.3508095741272	14.149918794631958	trials	1208.698634147644	1209.0269696712494	1207.8206565380096	1208.6899507045746	1208.88520693779	1219.5007283687592	1207.4632396697998	Left
